PUID_SIX,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,COURSE_IDENTIFICATION,COURSE_REFERENCE_NUMBER,Prior_Overall_GPA_Term,Prior_Overall_Term_Desc,Prior_Overall_GPA_Term_Level,Prior_Term_Overall_GPA
347980,202210,Fall 2021,PHYS17200,26931,,,,
348038,202210,Fall 2021,PHYS17200,26931,,,,
348065,202210,Fall 2021,PHYS17200,37254,,,,
348072,202210,Fall 2021,PHYS17200,26930,,,,
348211,202120,Spring 2021,PHYS22000,32657,,,Undergraduate,1.21052632
348263,202210,Fall 2021,PHYS17200,26930,,,,
348277,202210,Fall 2021,PHYS17200,26930,,,,
348284,202210,Fall 2021,PHYS22000,10333,,,,
348569,202210,Fall 2021,PHYS17200,26931,,,,
348669,202210,Fall 2021,PHYS17200,21307,,,,
348702,202210,Fall 2021,PHYS17200,26931,,,,
348741,202210,Fall 2021,PHYS17200,26930,,,,
348792,202210,Fall 2021,PHYS17200,26930,,,,
348810,202210,Fall 2021,PHYS17200,37253,,,,
348814,202210,Fall 2021,PHYS17200,37254,,,,
348822,202210,Fall 2021,PHYS17200,37253,,,,
348843,202210,Fall 2021,PHYS17200,37254,,,,
348880,202210,Fall 2021,PHYS17200,37254,,,,
348916,202210,Fall 2021,PHYS17200,26931,,,,
348985,202210,Fall 2021,PHYS17200,37253,,,,
348993,202210,Fall 2021,PHYS22000,27016,,,,
349045,202210,Fall 2021,PHYS17200,21307,,,,
349049,202210,Fall 2021,PHYS17200,37253,,,,
349080,202210,Fall 2021,PHYS22000,27016,,,,
349183,202210,Fall 2021,PHYS17200,37254,,,,
349191,202210,Fall 2021,PHYS17200,37253,,,,
349209,202210,Fall 2021,PHYS17200,37254,,,,
349312,202210,Fall 2021,PHYS17200,37253,,,,
349318,202210,Fall 2021,PHYS17200,26931,,,,
349369,202210,Fall 2021,PHYS17200,37254,,,,
349395,202210,Fall 2021,PHYS17200,37254,,,,
349471,202210,Fall 2021,PHYS17200,26930,,,,
349480,202210,Fall 2021,PHYS17200,21307,,,,
349572,202210,Fall 2021,PHYS17200,37253,,,,
349641,202210,Fall 2021,PHYS17200,37253,,,,
349663,202210,Fall 2021,PHYS17200,26931,,,,
349691,202210,Fall 2021,PHYS17200,37253,,,,
