PUID_SIX,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,COURSE_IDENTIFICATION,COURSE_REFERENCE_NUMBER,Prior_Overall_GPA_Term,Prior_Overall_Term_Desc,Prior_Overall_GPA_Term_Level,Prior_Term_Overall_GPA
314491,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,4
314638,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,4
315058,202210,Fall 2021,PHYS17200,26931,202120,Spring 2021,Undergraduate,3
315073,202210,Fall 2021,PHYS17200,37253,202120,Spring 2021,Undergraduate,3
315211,202210,Fall 2021,PHYS17200,26930,202120,Spring 2021,Undergraduate,4
315232,202210,Fall 2021,PHYS17200,21307,202120,Spring 2021,Undergraduate,2.3
315540,202210,Fall 2021,PHYS17200,26931,202120,Spring 2021,Undergraduate,2.9375
316625,202210,Fall 2021,PHYS17200,26930,202120,Spring 2021,Undergraduate,4
316801,202120,Spring 2021,PHYS22000,32657,,,Undergraduate,2.54285714
316842,202210,Fall 2021,PHYS17200,26930,,,,
316921,202120,Spring 2021,PHYS17200,28586,,,Undergraduate,3.91176471
316937,202210,Fall 2021,PHYS22000,27017,,,,
317046,202210,Fall 2021,PHYS22000,27017,,,,
